#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:GTR1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:GTR1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:GTR1">
#                <taxonset id="TaxonSet.GTR1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:GTR1" name="distribution" x="@birthRate.t:GTR1">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:GTR1" name="distribution">
#            <parameter id="clockRate.c:GTR1" name="x">1.0E-4</parameter>
#            <LogNormal id="LogNormalDistributionModel.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.03" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Constraint_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="44" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="58" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="40" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="31" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="35" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="41" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.01" lower="2260.0" name="distr" upper="2763.0"/>
#        </distribution>
#        <distribution id="Constraint_2.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="76" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="51" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="42" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="71" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="47" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="62" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="49" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="77" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="48" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.02" lower="2344.0" name="distr" upper="2866.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GTR1" id="treeLikelihood.GTR1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:GTR1">
#            <siteModel id="SiteModel.s:GTR1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GTR1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GTR1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GTR1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="LewisMK.s:GTR1" spec="beast.evolution.substitutionmodel.LewisMK" stateNumber="2"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GTR1" id="StrictClock.c:GTR1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	monophyletic(Constraint_1)	logP(mrca(Constraint_1))	mrcatime(Constraint_1)	clockRate	monophyletic(Constraint_2)	logP(mrca(Constraint_2))	mrcatime(Constraint_2)	
0	-73089.62352784249	-72386.6232666444	-703.0002611980913	-72386.6232666444	5649.983110480701	-649.7893241937935	6.788149293031298E-4	1.0	1	-6.220590170099739	2272.8563472858596	1.0802702250993955E-4	1	-6.257667587882639	2444.961330476382	
10000	-73100.28569514028	-72396.9667598187	-703.3189353215829	-72396.9667598187	5775.374726024638	-650.2107696493134	6.897839321334446E-4	1.0	1	-6.220590170099739	2501.3597580587557	1.0869463467181055E-4	1	-6.257667587882639	2366.9255097574905	
20000	-73108.21798928958	-72398.15399540795	-710.0639938816367	-72398.15399540795	6126.157731463428	-656.0955558611062	6.188773197196008E-4	1.0	1	-6.220590170099739	2480.4872092321452	1.0125507949932996E-4	1	-6.257667587882639	2662.0028457663448	
30000	-73085.61542575304	-72383.6232913672	-701.9921343858501	-72383.6232913672	5375.55971591298	-649.5794473533716	8.108841027939586E-4	1.0	1	-6.220590170099739	2385.83582769245	1.0886450521491483E-4	1	-6.257667587882639	2479.731361606523	
40000	-73103.14834622236	-72390.68125188173	-712.4670943406281	-72390.68125188173	6047.4448346796435	-658.2695143215918	6.203236656115859E-4	1.0	1	-6.220590170099739	2668.837155554302	9.697419133283855E-5	1	-6.257667587882639	2670.5610503550974	
50000	-73091.53400395435	-72387.93769548778	-703.5963084665678	-72387.93769548778	5430.566443774861	-650.829958818042	7.672035490899198E-4	1.0	1	-6.220590170099739	2414.4754392540754	1.0650214928060603E-4	1	-6.257667587882639	2422.7216260176906	
60000	-73086.95510558355	-72380.42490962619	-706.53019595736	-72380.42490962619	5900.88755714644	-653.2124200756896	6.971987621026192E-4	1.0	1	-6.220590170099739	2515.9769586095185	1.0375670874913047E-4	0	-6.257667587882639	2515.447621586416	
70000	-73089.28292944632	-72389.24874933995	-700.0341801063649	-72389.24874933995	5170.504814113617	-647.0016455634194	6.709062936959163E-4	1.0	1	-6.220590170099739	2289.8544961555376	1.1264280191939147E-4	1	-6.257667587882639	2419.4791473097243	
80000	-73091.50223652035	-72377.14586944623	-714.3563670741111	-72377.14586944623	6115.141775297005	-661.4364134042048	8.362510224741474E-4	1.0	1	-6.220590170099739	2662.9372149718424	9.700797388370996E-5	1	-6.257667587882639	2635.085952804278	
90000	-73108.87688369707	-72392.57008428637	-716.3067994106974	-72392.57008428637	6358.871512236581	-661.6364281407389	5.91524973251557E-4	1.0	1	-6.220590170099739	2642.9315386134645	9.247656703861452E-5	1	-6.257667587882639	2861.3738579423875	
100000	-73101.03237037371	-72399.63848415023	-701.3938862234852	-72399.63848415023	5410.032311338684	-648.4120379024376	7.033602097595547E-4	1.0	1	-6.220590170099739	2422.7421771236436	1.0954418327889829E-4	1	-6.257667587882639	2380.119749323773	
110000	-73104.08953813133	-72398.54642253058	-705.5431156007481	-72398.54642253058	5708.628361358392	-653.1555447837148	8.436882841614521E-4	1.0	1	-6.220590170099739	2284.9794502455456	1.0610818975404701E-4	1	-6.257667587882639	2449.282075034697	
120000	-73100.33523506494	-72395.32723451617	-705.0080005487677	-72395.32723451617	6147.166209430993	-652.4290490344616	8.086908643667754E-4	1.0	1	-6.220590170099739	2339.2299414562185	1.0583544196077866E-4	1	-6.257667587882639	2474.3228379173443	
130000	-73093.865058425	-72385.8467421255	-708.0183162994977	-72385.8467421255	5999.482371353172	-655.2450814410518	7.935213067333678E-4	1.0	1	-6.220590170099739	2371.0857403588825	1.0365319109493552E-4	1	-6.257667587882639	2549.143461262153	
140000	-73101.10695063237	-72395.53380360831	-705.573147024063	-72395.53380360831	6035.643401347038	-653.3864804808327	8.714902145863608E-4	1.0	1	-6.220590170099739	2448.0078374576483	1.0739184018937516E-4	1	-6.257667587882639	2437.7636319149956	
150000	-73101.92892447747	-72393.25154215771	-708.6773823197559	-72393.25154215771	5768.346410352366	-655.4029156700735	7.253175251996831E-4	1.0	1	-6.220590170099739	2576.679853429131	1.0141660014805731E-4	1	-6.257667587882639	2500.2420830935084	
160000	-73085.79922662745	-72382.33401963132	-703.4652069961235	-72382.33401963132	5523.662186638786	-650.2105420177048	6.675764375645341E-4	1.0	1	-6.220590170099739	2367.5349646027953	1.0858591505344495E-4	1	-6.257667587882639	2406.7250255231124	
170000	-73095.67834446178	-72393.01127606747	-702.667068394309	-72393.01127606747	5663.442952472398	-650.1588854834612	7.865098812224518E-4	1.0	1	-6.220590170099739	2436.99762532881	1.0951899160320797E-4	1	-6.257667587882639	2487.5633624929824	
