#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:GTR1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:GTR1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:GTR1">
#                <taxonset id="TaxonSet.GTR1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:GTR1" name="distribution" x="@birthRate.t:GTR1">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:GTR1" name="distribution">
#            <parameter id="clockRate.c:GTR1" name="x">1.0E-4</parameter>
#            <LogNormal id="LogNormalDistributionModel.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.03" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Constraint_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="74" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="62" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="40" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.01" lower="2033.0" name="distr" upper="2486.0"/>
#        </distribution>
#        <distribution id="Constraint_2.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="47" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="58" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="80" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="72" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="24" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="56" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="42" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="66" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="28" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="77" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.02" lower="1946.0" name="distr" upper="2379.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GTR1" id="treeLikelihood.GTR1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:GTR1">
#            <siteModel id="SiteModel.s:GTR1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GTR1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GTR1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GTR1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="LewisMK.s:GTR1" spec="beast.evolution.substitutionmodel.LewisMK" stateNumber="2"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GTR1" id="StrictClock.c:GTR1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	monophyletic(Constraint_1)	logP(mrca(Constraint_1))	mrcatime(Constraint_1)	clockRate	monophyletic(Constraint_2)	logP(mrca(Constraint_2))	mrcatime(Constraint_2)	
0	-75820.28889365388	-75186.89074868291	-633.398144970961	-75186.89074868291	2366.4630025350025	-588.5136105643571	0.001827396751242066	1.0	0	-6.115892125483034	2114.690172453105	2.3555033581133683E-4	0	-6.07073772800249	2366.4630025350025	
1000	-75822.84119819515	-75191.60304781521	-631.2381503799347	-75191.60304781521	2315.0464948980775	-586.4964014594638	0.0018489286284172348	1.0	0	-6.115892125483034	2088.623040119803	2.403175361556501E-4	0	-6.07073772800249	2315.0464948980775	
2000	-75822.61563345739	-75193.73421464059	-628.8814188167993	-75193.73421464059	2261.380705137221	-584.0321611596924	0.001717616203195276	1.0	0	-6.115892125483034	2077.6044489684314	2.48412481508864E-4	0	-6.07073772800249	2261.380705137221	
3000	-75828.86557077823	-75198.04205093095	-630.8235198472764	-75198.04205093095	2297.2199756942728	-586.2687023202744	0.001898857895943739	1.0	0	-6.115892125483034	2055.324528641328	2.4468299037425637E-4	0	-6.07073772800249	2297.2199756942728	
4000	-75833.14112274568	-75203.43501685045	-629.7061058952434	-75203.43501685045	2322.955260757422	-584.6380504018495	0.0016394973067103008	1.0	0	-6.115892125483034	2049.8877330422856	2.4615728915700395E-4	0	-6.07073772800249	2322.955260757422	
5000	-75829.6322279123	-75197.29041730543	-632.3418106068643	-75197.29041730543	2350.89903284712	-587.6479807380766	0.0018755287597402878	1.0	0	-6.115892125483034	2115.59523862679	2.4010479948936015E-4	0	-6.07073772800249	2350.89903284712	
6000	-75829.1476576277	-75196.97971493249	-632.1679426952157	-75196.97971493249	2369.2087336093014	-587.7083773817792	0.0019996366840328945	1.0	0	-6.115892125483034	2090.8512185572627	2.4016090317488805E-4	0	-6.07073772800249	2369.2087336093014	
7000	-75831.1898907282	-75199.83217389832	-631.3577168298799	-75199.83217389832	2283.935589472473	-586.6032590115639	0.0018441637655932336	1.0	0	-6.115892125483034	2089.6469090570145	2.4016090317488805E-4	0	-6.07073772800249	2283.935589472473	
8000	-75820.85058898292	-75191.02399901388	-629.8265899690456	-75191.02399901388	2362.072258273255	-584.8779056545495	0.0017129699955836474	1.0	0	-6.115892125483034	2053.61721408177	2.4397527806562723E-4	0	-6.07073772800249	2362.072258273255	
9000	-75825.66261756876	-75196.7430221545	-628.9195954142631	-75196.7430221545	2236.994979123545	-583.7035948707438	0.0015249776096575311	1.0	0	-6.115892125483034	2038.0903668891144	2.524461532139727E-4	0	-6.07073772800249	2236.994979123545	
10000	-75827.03184162496	-75197.28839542423	-629.7434462007434	-75197.28839542423	2277.6451109761756	-584.3970359623225	0.0015330394278757061	1.0	0	-6.115892125483034	2075.364927503924	2.4489430947649267E-4	0	-6.07073772800249	2277.6451109761756	
11000	-75819.18136746708	-75189.29616024006	-629.8852072270225	-75189.29616024006	2291.5862294553112	-584.4931968409763	0.001514711463113607	1.0	0	-6.115892125483034	2067.5052895089666	2.4489430947649267E-4	0	-6.07073772800249	2291.5862294553112	
12000	-75812.0933386139	-75181.02690718893	-631.06643142496	-75181.02690718893	2340.1574536266635	-585.9448874738085	0.0016546257110832698	1.0	0	-6.115892125483034	2090.0700161982045	2.4183878206268287E-4	0	-6.07073772800249	2340.1574536266635	
13000	-75824.06548769155	-75192.39760753309	-631.6678801584583	-75192.39760753309	2339.5262002218997	-586.429620740601	0.001606824816162425	1.0	0	-6.115892125483034	2093.435173439229	2.415060679337471E-4	0	-6.07073772800249	2339.5262002218997	
14000	-75823.65035675876	-75196.53481639175	-627.1155403670067	-75196.53481639175	2215.9931417423973	-582.1627187849331	0.0016249251899159173	1.0	0	-6.115892125483034	2040.4903546906185	2.5366597675588546E-4	0	-6.07073772800249	2215.9931417423973	
15000	-75826.8780310453	-75195.395797665	-631.4822333802999	-75195.395797665	2332.7806671697044	-586.2958005385681	0.0016519463798089242	1.0	0	-6.115892125483034	2110.818944784495	2.389948803321619E-4	0	-6.07073772800249	2332.7806671697044	
16000	-75819.33948353185	-75192.83643817273	-626.5030453591241	-75192.83643817273	2258.143345190606	-581.7793008029267	0.0017122773464685803	1.0	0	-6.115892125483034	2089.451916188311	2.5539737879981517E-4	0	-6.07073772800249	2258.143345190606	
