#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:GTR1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:GTR1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:GTR1">
#                <taxonset id="TaxonSet.GTR1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:GTR1" name="distribution" x="@birthRate.t:GTR1">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:GTR1" name="distribution">
#            <parameter id="clockRate.c:GTR1" name="x">1.0E-4</parameter>
#            <LogNormal id="LogNormalDistributionModel.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.03" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Constraint_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="58" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.01" lower="2286.0" name="distr" upper="2795.0"/>
#        </distribution>
#        <distribution id="Constraint_2.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="80" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="56" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="31" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.02" lower="2549.0" name="distr" upper="3117.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GTR1" id="treeLikelihood.GTR1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:GTR1">
#            <siteModel id="SiteModel.s:GTR1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GTR1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GTR1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GTR1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="LewisMK.s:GTR1" spec="beast.evolution.substitutionmodel.LewisMK" stateNumber="2"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GTR1" id="StrictClock.c:GTR1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	monophyletic(Constraint_1)	logP(mrca(Constraint_1))	mrcatime(Constraint_1)	clockRate	monophyletic(Constraint_2)	logP(mrca(Constraint_2))	mrcatime(Constraint_2)	
0	-79814.92818976076	-79098.83187584124	-716.0963139195266	-79098.83187584124	7006.22704786806	-662.3227828524389	5.683518825978326E-4	1.0	1	-6.2324480165505225	2494.3548921541155	1.1431076293674005E-4	1	-6.342121418721152	2583.2738333068087	
10000	-79807.48739893167	-79089.1936313661	-718.2937675655652	-79089.1936313661	7045.714908892713	-664.5807541635603	6.016585298540476E-4	1.0	1	-6.2324480165505225	2391.63519821423	1.1039524433572382E-4	1	-6.342121418721152	2923.854786254047	
20000	-79819.32520218329	-79092.35636043681	-726.9688417464791	-79092.35636043681	7982.317397331255	-672.0365420098694	5.074812003297591E-4	1.0	1	-6.2324480165505225	2482.8728473068186	1.0147305950171137E-4	1	-6.342121418721152	3063.7384645514144	
30000	-79801.7037344912	-79087.09298351582	-714.6107509753757	-79087.09298351582	7564.715366783547	-661.6241926031571	6.637194329326613E-4	1.0	1	-6.2324480165505225	2368.536263830849	1.1661561838661128E-4	1	-6.342121418721152	2786.924093807052	
40000	-79810.72209085968	-79091.64923027703	-719.0728605826461	-79091.64923027703	7129.359308260595	-666.3698985215586	7.576317631086885E-4	1.0	1	-6.2324480165505225	2554.2777088784214	1.1071900560344803E-4	1	-6.342121418721152	2657.0052141260153	
50000	-79824.83657131682	-79096.93721403643	-727.899357280386	-79096.93721403643	8463.391954471617	-673.6515572121466	6.11457024320138E-4	1.0	1	-6.2324480165505225	2761.753949912294	9.889865332235317E-5	1	-6.342121418721152	3112.585057250671	
60000	-79819.60805930165	-79104.06053306352	-715.547526238137	-79104.06053306352	7206.77896664103	-662.5509102244562	6.758054678078374E-4	1.0	1	-6.2324480165505225	2627.3299760150185	1.147454689598113E-4	1	-6.342121418721152	2815.749640295729	
70000	-79808.52063808273	-79091.10942213864	-717.4112159440839	-79091.10942213864	7097.740064296013	-664.5978908376449	7.284171850095738E-4	1.0	1	-6.2324480165505225	2465.043847123701	1.118756896301482E-4	1	-6.342121418721152	3039.8274474371074	
80000	-79813.38799382412	-79095.84149194832	-717.5465018757906	-79095.84149194832	7415.726819667389	-663.6391866613501	5.62569333499988E-4	1.0	1	-6.2324480165505225	2399.596316093271	1.1247043138292635E-4	1	-6.342121418721152	2581.7174324639927	
90000	-79820.95855207794	-79094.75422179737	-726.2043302805736	-79094.75422179737	8145.669436586536	-672.0830902076241	6.077415995198415E-4	1.0	1	-6.2324480165505225	2576.135429882829	1.0167611082526947E-4	1	-6.342121418721152	2936.702944527253	
100000	-79828.63773249595	-79103.19341046845	-725.4443220274944	-79103.19341046845	8301.245232584512	-671.0779435762544	5.596298938501288E-4	1.0	1	-6.2324480165505225	2454.385747616936	1.0387886881578274E-4	1	-6.342121418721152	2921.4995625752044	
110000	-79813.82960110254	-79090.90668347929	-722.9229176232437	-79090.90668347929	7417.725494928992	-669.4356238357617	6.804015172017392E-4	1.0	1	-6.2324480165505225	2360.816233427646	1.0435450573155583E-4	1	-6.342121418721152	2859.177168689569	
120000	-79803.87131039743	-79085.48318161484	-718.3881287825935	-79085.48318161484	7200.593549747083	-664.7296077419152	6.094600104905166E-4	1.0	1	-6.2324480165505225	2504.1094696268765	1.1035566092128795E-4	1	-6.342121418721152	2804.2556495405747	
