#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:GTR1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:GTR1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:GTR1">
#                <taxonset id="TaxonSet.GTR1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:GTR1" name="distribution" x="@birthRate.t:GTR1">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:GTR1" name="distribution">
#            <parameter id="clockRate.c:GTR1" name="x">1.0E-4</parameter>
#            <LogNormal id="LogNormalDistributionModel.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.03" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Constraint_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="38" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="56" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="51" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="65" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="68" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.01" lower="2392.0" name="distr" upper="2925.0"/>
#        </distribution>
#        <distribution id="Constraint_2.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="40" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="32" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="73" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="41" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.02" lower="2761.0" name="distr" upper="3375.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GTR1" id="treeLikelihood.GTR1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:GTR1">
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:GTR1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GTR1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GTR1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GTR1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion">
#                    <parameter id="bcov_alpha.s:GTR1" lower="1.0E-4" name="alpha" upper="1.0">0.5</parameter>
#                    <parameter id="bcov_s.s:GTR1" lower="1.0E-4" name="switchRate" upper="Infinity">0.5</parameter>
#                    <parameter dimension="2" id="frequencies.s:GTR1" lower="0.0" name="vfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" id="hiddenfrequencies.s:GTR1" lower="0.0" name="hfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@GTR1" estimate="false" id="dummyfrequencies.s:GTR1" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GTR1" id="StrictClock.c:GTR1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	monophyletic(Constraint_1)	logP(mrca(Constraint_1))	mrcatime(Constraint_1)	clockRate	monophyletic(Constraint_2)	logP(mrca(Constraint_2))	mrcatime(Constraint_2)	
0	-28768.83099928089	-28017.069184089294	-751.7618151915974	-28017.069184089294	6475.410362814647	-684.5437614671649	5.059534006517197E-4	1.0	1	-6.278521424165844	2503.794545381489	1.4106143410455852E-5	1	-6.419994928147142	2994.4550363325457	
20000	-28767.53805815881	-28018.83856973934	-748.6994884194714	-28018.83856973934	6673.587312332935	-681.5695606762546	5.18043440264011E-4	1.0	1	-6.278521424165844	2680.6149939872703	1.4069019945210707E-5	0	-6.419994928147142	2895.0451556915027	
40000	-28771.65975214966	-28012.17037364424	-759.489378505421	-28012.17037364424	7595.833004522228	-691.301920806609	4.921898370038166E-4	1.0	1	-6.278521424165844	2822.354312521925	1.2463825437454129E-5	1	-6.419994928147142	3274.4954684602835	
60000	-28756.855427043687	-28012.157954248698	-744.697472794988	-28012.157954248698	6202.958145099097	-678.1688158771533	5.473054758977667E-4	1.0	1	-6.278521424165844	2540.7382544261905	1.4828220165213078E-5	1	-6.419994928147142	2817.864653395989	
80000	-28761.917460200242	-28011.58959015915	-750.3278700410921	-28011.58959015915	6783.689435607087	-683.0408809403594	4.822170643935243E-4	1.0	1	-6.278521424165844	2513.678150245605	1.4417154965961375E-5	1	-6.419994928147142	2970.638315498671	
100000	-28757.555746241804	-28007.37130156977	-750.1844446720337	-28007.37130156977	7216.897378029266	-682.3854680442533	4.777836603083276E-4	1.0	1	-6.278521424165844	2454.690903750568	1.345354472251344E-5	1	-6.419994928147142	2869.8247527048597	
120000	-28761.18714999461	-28009.458653249218	-751.728496745391	-28009.458653249218	6891.552956772943	-684.797559866944	5.711890938040206E-4	1.0	1	-6.278521424165844	2693.605044205076	1.3589850297336283E-5	0	-6.419994928147142	3071.5194469432527	
140000	-28764.594755015456	-28009.99058600779	-754.6041690076675	-28009.99058600779	7237.247033516063	-686.3616494502747	4.572625301344929E-4	1.0	1	-6.278521424165844	2564.130761929014	1.2981589407465742E-5	1	-6.419994928147142	3326.8609420348976	
160000	-28757.527620502133	-28008.63743732543	-748.8901831767041	-28008.63743732543	6505.531659562254	-681.1474346154819	4.6064664734616386E-4	1.0	1	-6.278521424165844	2669.759231352002	1.3900001834632548E-5	1	-6.419994928147142	2887.417394107237	
180000	-28747.648537938083	-28003.136324227595	-744.5122137104887	-28003.136324227595	6284.1990306291955	-677.5545607427903	5.146488658615835E-4	1.0	1	-6.278521424165844	2475.4022925322006	1.449394888353375E-5	1	-6.419994928147142	2773.6735448995587	
200000	-28750.545231679	-28003.6693691197	-746.8758625593	-28003.6693691197	6673.3700425443385	-679.3466888422837	4.865701488252546E-4	1.0	1	-6.278521424165844	2462.05550734695	1.3828707533434875E-5	0	-6.419994928147142	3007.816640842702	
220000	-28774.11212769265	-28019.525749917862	-754.5863777747879	-28019.525749917862	7080.457545406901	-685.7097825770614	3.9823819333015216E-4	1.0	1	-6.278521424165844	2771.7950261874557	1.2986345521635563E-5	1	-6.419994928147142	3036.7707699531074	
240000	-28755.546509927266	-28009.009461839116	-746.5370480881486	-28009.009461839116	6100.611741906333	-679.8300050979689	5.644662406970747E-4	1.0	1	-6.278521424165844	2510.547656742818	1.4153421157475542E-5	0	-6.419994928147142	2978.766886059084	
260000	-28772.947540720314	-28011.41200778399	-761.5355329363224	-28011.41200778399	7702.999197358945	-692.7972765758931	4.798594157403623E-4	1.0	1	-6.278521424165844	2725.5929465895933	1.169920421096888E-5	1	-6.419994928147142	3308.6471722409156	
280000	-28751.98143071442	-28007.429646603734	-744.5517841106858	-28007.429646603734	6334.073684206805	-678.5364536531978	6.134612069260717E-4	1.0	1	-6.278521424165844	2479.924194178777	1.4850357310242573E-5	1	-6.419994928147142	2818.0543022086404	
300000	-28764.64111477229	-28007.878457092826	-756.7626576794646	-28007.878457092826	7311.73706644166	-689.4712723511658	5.34631099603802E-4	1.0	1	-6.278521424165844	2488.383323973528	1.3457423672946915E-5	0	-6.419994928147142	3143.5461356571745	
320000	-28770.76826489331	-28008.04944708274	-762.7188178105732	-28008.04944708274	7641.24513902802	-693.2156168128822	3.4821229207870875E-4	1.0	1	-6.278521424165844	2907.5795586333625	1.2992793765623075E-5	1	-6.419994928147142	3268.7701791245945	
340000	-28757.91448409094	-28006.172880827682	-751.7416032632561	-28006.172880827682	6726.318834487993	-683.9387720663017	4.328241810193124E-4	1.0	1	-6.278521424165844	2643.969683265097	1.4368669637936957E-5	1	-6.419994928147142	3072.2908484781774	
360000	-28767.77800265061	-28019.70349692194	-748.0745057286745	-28019.70349692194	6516.766055581761	-680.8608537302773	4.483978138841222E-4	1.0	1	-6.278521424165844	2413.236045543994	1.5306302534904354E-5	1	-6.419994928147142	2792.372333272869	
